Year / Title,Problem type,Objectives / Goals,Metrics Used,Metrics Match Objectives?
Efficient Training of Probabilistic Neural Networks for Survival Analysis,Methodology,"Compare probabilistic training approaches (VI vs. MCD vs. SNGP), evaluate prediction performance (ranking + time-to-event accuracy), evaluate calibration performance (distribution, coverage, probability calibration), provide computational efficiency comparisons.","Antolini CI, IBS (IPCW), MAE-H, MAE-PO, D-Cal, C-Cal","Yes, uses the appropriate metrics for ranking, time-to-event prediction, and calibration."
SYNDSURV: A simple framework for survival analysis with data distributed across multiple institutions,Methodology,Distributed synthetic-data survival modeling; claims TTE prediction,"Antolini CI, TD-AUC","No, missing TTE metrics, no calibration, incomplete censoring evaluation"
Survival-LCS: A Rule-Based Machine Learning Approach to Survival Analysis,Methodology,"Predict survival times, predict full survival distributions, handle censoring with novel error and accuracy updates, detect complex genetic associations (epistasis, heterogeneity), provide interpretable rule-based models, perform well across varying censoring proportions, feature dimension, and interaction structure.",IBS only,"No, missing TTE metrics, missing calibration, missing ranking, incomplete censoring evaluation"
"Using Geographic Location-based Public Health Features in
Survival Analysis",Application,"Determine whether adding geographic location-based public health features improves survival prediction quality, evaluate on SEER data using existing models (CoxPH, DSM), prediction goal is framed strictly in terms of agreement between predicted and observed survival times, quantified by C-index (ranking), no claims about predicting time-to-event, calibration, or distribution accuracy.",Harrell CI,"Yes, no distributional or censoring-related claims."
Survival analysis in breast cancer: evaluating ensemble learning techniques for prediction,Application,"Predict time-to-relapse in breast cancer, compare the predictive ability of CoxPH vs. RSF vs. CForest, evaluate model discrimination and prediction error, provide variable importance explanations, illustrate survival probability curves for hypothetical patients","Harrell CI, PEC, IBS","No, missing TTE metrics and censoring assumptions not addressed"
Deep Survival Analysis With Latent Clustering and Contrastive Learning,Methodology,"Improve survival prediction accuracy, improve risk discrimination, improve calibration, handle censored data more effectively via contrastive learning, provide better patient-level survival curves (CIF)","Harrell CI, IBS","No, missing TTE error metrics; incomplete calibration, censoring mechanism not addressed; Harrell CI used without justification"
Fairness in Survival Analysis with Distributionally Robust Optimization,Methodology,"Improve fairness across all sufficiently large subpopulations using a DRO-based method, be applicable to any survival model, including Cox, DeepHit, SODEN, maintain accuracy (discrimination & risk prediction quality), handle censoring within fairness metrics.","Antolini CI, IBS, fairness metrics","Yes, metrics match stated goals and censoring handled appropriately"
Deep Contrastive Survival Analysis with Dual-View Clustering,Methodology,"Improve survival prediction performance for glioma patients, predict survival risk / rank patients, produce more accurate survival curves (they include predicted KM-like curves), compare their model to baseline models on multiple metrics.","C-index, AUC, Accuracy, F1, KM curves","No, missing calibration & survival-curve accuracy. Harrell CI without assumptions; no IPCW metrics; classification metrics invalid under censoring"
Leveraging the variational Bayes autoencoder for survival analysis,Methodology,"Predict the full time-to-event distribution analytically, estimate survival functions and hazard functions for individual patients, handle censored data correctly within likelihood training, provide good risk discrimination, provide good survival-curve accuracy (IBS), demonstrate competitive performance vs Cox, DeepSurv, DeepHit.","Antolin CI, IBS, MRR (Mean Reciprocal Rank), p-values for CI/IBS","Partially, they claim to predict the time-to-event distribution, yet no MAE/RMSE/TTE metric is reported. Censoring is handled well, but assumptions are not stated"
Survival Analysis of Superficial Bladder Cancer patients using DeepSurv and Cox models,Application,"Predict risk ranking for bladder cancer patients, rank patients by risk, provide treatment recommendations using hazard ratios/log risk differences, evaluate predictive performance of DeepMLPSurv vs Cox and other models, analyze tumor recurrence based on features.","Harrell CI, Partial Log-Likelihood Ratio","Partially, censoring assumptions are not addressed, and censoring-robust metrics are missing."
A Genetic Algorithm-based Auto-ML System for Survival Analysis,Methodology,"Predict time-to-event outcomes, cope with censored data, automatically select the best survival model + hyperparameters, improve predictive accuracy over baseline methods, evaluate performance across multiple datasets",Harrell CI,"No, missing TTE metrics and censoring assumptions not addressed"
Transformer-based time-to-event prediction for chronic kidney disease deterioration,Methodology,"Predict exact time-to-event (time to deterioration to CKD Stage 5), improve MAE vs. baseline TTE models (explicit claim), predict full survival curves, handle censored data correctly, enable ranking and risk stratification, enable clinical interpretability","Harrell CI, MAE-uncensored, AUC-uncensored","Partially, metrics match some objectives (MAE for TTE accuracy, C-index for ranking), but censoring assumptions are not validated, and censoring-robust metrics are missing."
Prioritising deteriorating patients using time-to-event analysis: prediction model development and internal–external validation,Application,"Use a Cox time-to-event model to improve ranking of patients by risk, compare ranking performance of Cox vs discrete-time logistic regression, develop a model useful for triage prioritization","TD-AUC (IPCW), calibration curves","Yes, only concerned with ranking, Uno’s AUC handles censoring properly."
Conformalized Survival Distributions: A Generic Post-Process to Increase Calibration,Methodology,"Improve calibration of individual survival distributions (D-cal, KM-cal), preserve discrimination (C-index), handle censoring correctly in a conformal-regression setting ","Harrell CI, D-Cal, KM-Cal, IBS, MAE-PO","Yes, they claim to address discrimination and calibration and evaluate both thoroughly, censoring assumptions stated and handled"
An Integrated Uncertainty Quantification Model for Longitudinal and Time-to-Event Data,Methodology,Jointly model longitudinal + TTE data; propagate uncertainty from both sources; improve risk prediction accuracy; quantify prediction uncertainty,"Harrell CI, MAE (uncensored), RMSE, interval coverage metrics, uncertainty width/coverage diagnostics","Partially, metrics cover TTE accuracy but not calibration; censoring assumptions not addressed; no formal calibration test"
An Evidential Time-to-Event Prediction Model Based on Gaussian Random Fuzzy Numbers,Methodology,"Predict continuous time-to-event values, quantify uncertainty using belief functions & random fuzzy numbers, handle right censoring correctly via modified evidential likelihood, achieve good predictive performance, achieve good calibration","Harrell CI, IBS, IBLL","Partially, missing TTE accuracy metrics; censoring assumptions unstated"
New Dynamic Bayesian Network for Time-to-Event Prediction,Methodology,"Predict time-to-event outcomes (disease progression, relapse, etc.), compare DBN performance against existing survival models, emphasize ranking / discrimination ability.",Harrell CI,"No, wrong metrics for the stated objective (time-to-event), incorrect handling of censoring"
Development and validation of time-to-event models to predict metastatic recurrence of localized cutaneous melanoma,Application,"Develop time-to-event risk prediction models for melanoma metastatic recurrence, identify patients “at the highest risk of distant recurrence, who are therefore most likely to benefit from adjuvant therapy, focus on the methodological approach to time-to-event prediction","Antolini CI, TD-AUC, IBS","Partially, metrics match their time-to-event risk prediction goal, but paper does not address if they are using IPCW or another correction technique for censoring."
The AccelerAge framework: a new statistical approach to predict biological age based on time-to-event data,Application,"Predict residual life (survival time) via AFT models, convert residual life into predicted biological age, evaluate biological age clocks using discrimination and calibratrion metrics","Uno CI, RMSE, calibration plots","Partially, metrics match the goals of time-to-event biological age predictors, but they never state censoring assumptions (independent censoring), even though Uno C requires them; and calibration is performed on observed mortality without censoring adjustment."
Improving credit risk assessment in P2P lending with explainable machine learning survival analysis,Application,"Estimate hazard ratios and then assign borrowers into risk-rating groups, evaluate whether ratings separate default risk, IRR, and survival curves.","Harrell CI, Uno CI","Partially, metrics match the goals of risk prediction, but they never establish censoring assumptions, never check censoring mechanisms, and use biased metrics (Harrell) as primary indicators."
Stable Cox regression for survival analysis under distribution shifts,Methodology,"Build a stable Cox model that improves generalization of risk ranking under distribution shifts, identify stable variables that maintain predictive value across cohorts, evaluate prognostic performance on real-world cancer datasets",Harrell CI,"Partially, metrics match the goals of risk prediction, but they use C-index without specifying estimator; no IPCW; no censoring assumptions; KM/log-rank assumptions unaddressed."
Leveraging the variational Bayes autoencoder for survival analysis,Methodology,"Estimate the full predictive distribution of time-to-event, handle right-censored data, compare survival models using standard survival metrics","Antolini CI, IBS","No, missing TTE metrics. They measure only ranking (C-index) and global IBS. No censoring assumptions stated and Antolini CI is biased under random censoring; high censoring rates unaddressed"
Collaborative Survival Analysis on Predicting Alzheimer’s Disease Progression,Application,"Predict time-to-event outcomes, specifically time to Alzheimer’s Disease onset, show improved time-to-event prediction when combining modalities",Harrell CI,"No, metrics do not match the stated TTE objective, and censoring handling is insufficient (Harrell C, no censoring assumptions, no IPCW)"
Interactive Explainable Deep Survival Analysis,Methodology,Predict time-to-event (specifically time to death); estimate individualized survival curves; predict survival time “as close as possible” to true time; integrate explainability for understanding factors influencing survival time; support clinical time-dependent decision-making.,Harrell CI,"No, metrics do not match TTE objective, censoring handling is incorrect for chosen metric."
CoxFNN: Interpretable machine learning method for survival analysis,Methodology,"Predict time-to-event outcomes using a non-linear Cox extension; model intends to capture non-linear relationships in hazard while also providing interpretable rules; authors state goal of predicting time until an event occurs and emphasize learning hazards, survival function, and membership thresholds that reflect when patients are at high risk; aims to balance predictive performance with interpretability.",Harrell CI,"No, metrics do not match TTE objective, censoring handling is incorrect for chosen metric."
Predicting Amyotrophic Lateral Sclerosis Progression: an EMG-based Survival Analysis,Application,"Predict disease progression in ALS using EMG-derived metrics, predict survival outcomes (i.e., event occurrence) in ALS, predict survival time (time-to-event), model evolution of ALS over time and generate survival curves to support patient follow-up.","Harrell CI, log-rank test.","No, metrics do not match TTE objective, censoring handling is incorrect for chosen metric."
Deep Gated Neural Network With Self-Attention Mechanism for Survival Analysis,Methodology,"Model the time distributions of the first occurrences of events of interest, estimate the probability mass function (PMF) of the first hitting time","Antolini CI, MAE (uncensored)","No, TTE objective is only partially evaluated (MAE only on uncensored cases), censoring is not correctly handled as Antolini CI is biased under random censoring"
Towards Robust Time-to-Event Prediction: Integrating the Variational Information Bottleneck with Neural Survival Model,Methodology,"Predict the actual time-to-event (event-time) distribution, estimate survival density and survival function, improve accuracy of time-to-event estimation under noise.","Antolini CI, TD-AUC","No, metrics do not match TTE objective, metrics used are not censoring-robust"
,,,,
2025,,,,
Interpretable machine learning for time-to-event prediction in medicine and healthcare,Methodology,"Introduce time-dependent interpretability methods for survival analysis, demonstrate the usefulness of these interpretability tools on:
Hospital Length of Stay (LoS) modeled as a time-to-event prediction problem, and Cancer survival prediction using TCGA multi-omics data","Harell CI, TD-AUC, IBS (IPCW)","No, metrics do not match TTE objective (no MAE/MSE/RMSE) or calibration, censoring handling is incorrect for chosen metric."
Cohort-Individual Cooperative Learning for Multimodal Cancer Survival Analysis,Methodology,Risk ranking in cancer prognosis; Improve discrimination and generalization of multimodal survival models,"Harrell CI, log-rank","Partially, metrics match ranking objective, but censoring not properly handled (no use of IPCW)"
Comparative analysis and interpretability of survival models for melanoma prognosis,Application,"Evaluate and compare survival analysis models for melanoma prognosis, predict survival outcomes (OS, SS, DFS) for melanoma, assess both predictive performance and interpretability.","Harrell CI, TD-AUC","Partially, they use correct metrics for their ranking + calibration objectives, but censoring not properly handled (no use of IPCW)"
Explainable transformer-based deep survival analysis in childhood acute lymphoblastic leukemia,Application,"Predict patient-specific survival probabilities over time, model survival curves (S(t)) and hazard functions, assess model discrimination (ranking), provide interpretability (SHAP).",Harrell CI,"No, they predict survival probabilities, but use only C-index. They do not use any censoring-corrected metrics (Uno CI, IPCW AUC, IBS)."
An MRI-based deep learning radiomics model predicts recurrence-free survival in lung cancer patients after surgical resection of brain metastases,Application,"Predict RFS, a time-to-event outcome (RFS = time from surgery to recurrence/death), predict intracranial recurrence at fixed horizons (6, 12, 18 months), risk stratification using survival curves, construct a prognostic nomogram","Harrell CI, TD-AUC","No, metrics do not match TTE objective, censoring handling is incorrect for chosen metric."
TDMFS: Tucker decomposition multimodal fusion model for pan-cancer survival prediction,Application,"Develop a new multimodal survival model (TDMFS) using Tucker decomposition, improve survival prediction accuracy (i.e., risk prediction, not explicit time-to-event estimation), perform risk stratification with Kaplan–Meier curves to show separation of high- vs. low-risk groups.",Harrell CI,"Partially, proper metrics for risk ranking, but censoring handled poorly; no calibration; not suitable for true time-to-event evaluation."
Time-dependent interpretable survival prediction model for second primary NSCLC patients,Application,"Develop and validate machine-learning-based survival prediction models for overall survival (OS) in SP-NSCLC, predict survival probabilities over time, evaluate time-dependent predictor importance via permutation explanation, risk stratification into high- and low-risk groups via KM curves.","Harrell CI, TD-AUC, IBS (IPCW)","Partially, they use correct metrics (CI, tdAUC) for ranking, but metrics (CI) are biased under censoring"
Model averaging prediction for survival data with time-dependent effects,Methodology,"Develop a model-averaging method for Cox models with time-varying covariate effects, improve prediction of survival outcomes when the true model structure is unknown or partially misspecified, provide theoretical justification (asymptotic optimality) and demonstrate predictive performance via simulations and real data.","Harrell CI, IBS (IPCW), MAE, MSE","Yes, main metrics match objectives; censoring handled via IPCW."
Adaptive transformer modelling of density function for nonparametric survival analysis,Methodology,"Predict the full time-to-event distribution via a PDF and survival function S(t), improve prediction of survival time via modeling mean lifetime, accurately predict censoring via novel loss terms, handle static + dynamic (longitudinal) covariates.","Uno CI, MAE (Uncens/Hinge)","No, evaluation does not match the claims and censoring is not fully addressed for distribution-quality assessment."
"CoxKAN: Kolmogorov-Arnold networks for interpretable, high-performance survival analysis",Methodology,"Predict log-partial hazard (risk ranking), recover symbolic formulae representing hazard contributions, automatic feature pruning using KAN structure..",Harrell CI,"Partially, they use correct metric for risk ranking, but censoring not handled correctly"
Integrating images and genomics for multi-modal cancer survival analysis via mixture of experts,Methodology,"Develop a multimodal framework (MoE + cross-modal attention) to predict survival risk, improve integration of WSI features and pathway-based genomic features, achieve better risk stratification and prognostic discrimination across TCGA cancers.",Harrell CI,"Partially, they use correct metric for risk ranking, but censoring not handled correctly"
Integrating Copula-Based Random Forest and Deep Learning Approaches for Analyzing Heterogeneous Treatment Effects in Survival Analysis,Methodology,"Predict survival outcomes (vital status), estimate Heterogeneous Treatment Effects (HTE), evaluate differences in treatment effects across race, improve prediction with HT and IPTW weighting","Harrell CI, RMSE, MAE","No, no survival metrics and censoring is ignored, mismatch between stated goals and evaluation"
Comparative study of five-year cervical cancer cause-specific survival prediction models based on SEER data,Application,"Predict 5-year cause-specific survival (CSS) for cervical cancer patients, compare five survival models, identify important clinical predictors of CSS using SHAP, provide risk stratification (KM curves + log-rank test).","Uno CI, IBS, TD-AUC","Yes, metrics match objectives, censoring handled correctly"
Transformer-based dynamic survival probability prediction for longitudinal observational data,Methodology,"Predict survival probabilities dynamically over time, model longitudinal measurements, improve prediction accuracy over existing longitudinal survival models, interpretability via SHAP",Antolini CI,"No, missing TTE metrics, no censoring assumptions stated; metric is biased"
MENSA: A Multi-Event Network for Survival Analysis with Trajectory-based Likelihood Estimation,Methodology,"Model multiple time-to-event distributions jointly, improve event ordering (local survival discrimination), improve global discrimination, provide population survival curves","Global CI, Local CI, TD-AUC, IBS, mMAE, D-Cal","Yes, correct censoring handling and correct metrics for objectives."
A meaningful prediction of functional decline in amyotrophic lateral sclerosis based on multi-event survival analysis,Application,"Predict functional decline as an event in ALS patients, perform risk ranking, make counterfactual predictions","Harrell CI, Uno CI, IBS, mMAE, D-Cal","Yes, metrics align with objectives and censoring is handled correctly"
Deep learning models for the analysis of high-dimensional survival data with time-varying covariates while handling missing data,Application,Apply survival models to predict time to HIV infection using high-dimensional data with time-varying cytokines,"Antolini CI, IBS","Yes, metrics fully appropriate and no misuse of censorship assumptions."
Alzheimer’s disease risk prediction using machine learning for survival analysis with a comorbidity-based approach,Application,"Predict time to conversion from CN to MCI, predict risk prediction / progression modelling, and clinical usefulness (risk stratification, early detection, etc.",Harrell CI,"No, missing TTE metrics, heavy censoring with unadjusted Harrell's CI and no discussion of assumptions"
A machine learning approach for multimodal data fusion for survival prediction in cancer patients,Application,Compare multimodal vs unimodal survival models for overall survival (OS) on TCGA; main focus on improved discrimination / predictive performance and multimodal fusion strategy (late fusion),Harrell CI,"Partially, they use correct metric for risk ranking and acknowledges censoring-induced bias, but still uses a censoring-biased metric (Harrell's CI)"
Reliable multimodal cancer survival prediction with confidence-aware risk modeling,Methodology,"Improve risk prediction for cancer survival, provide reliable risk predictions via confidence-aware modeling, improve multimodal fusion through cross-modal alignment",Harrell CI,"Partially, CI is the correct metric for ranking, but they use plain Harrell CI under heavy censoring with no IPCW"
Beyond Cox models: Assessing the performance of machine-learning methods in non-proportional hazards and non-linear survival analysis,Methodology,"Evaluate predictive performance of survival methods under PH / non-PH / linear / nonlinear conditions, compare survival metrics and show when Harrell CI is inappropriate, assess calibration, study sample-size effects and computational cost.","Harrell CI, Antolini CI, Brier score, TD-AUC","Partially, strong metric alignment with goals, but fails censoring-handling criterion as they do not correct for censoring (eg, IPCW)"
KSP: Kolmogorov-Smirnov metric-based Post-Hoc Calibration for Survival Analysis,Methodology,"Develop a new calibration method for survival models (KSP), improve calibration across the entire survival distribution without harming discrimination, provide theoretical foundations for KS-cal and show consistency, empirically evaluate calibration performance across datasets and survival models","Harrell CI, D-cal, KS-cal, KM-cal, IBS","Yes, metrics align with claims and censoring assumptions addressed"
Deep Kernel Aalen-Johansen Estimator: An Interpretable and Flexible Neural Net Framework for Competing Risks,Methodology,"Predict cumulative incidence functions (CIFs) for competing risks at the individual level, make interpretable predictions, provide a flexible neural estimator generalizing Aalen-Johansen.","Antolini CI, IBS","Partially, missing TTE accuracy metrics and calibration to validate CIF, despite time-based objective"
Ensemble survival analysis for preclinical cognitive decline prediction in Alzheimer's disease using longitudinal biomarkers,Application,"Predict the time to clinical progression from CN to MCI/AD, early risk stratification using longitudinal biomarkers","Harrell CI, TD-AUC","No, missing TTE metrics, censoring bias not addressed"
Forecasting time to risk based on multi-party data: An explainable privacy-preserving decentralized survival analysis method,Application,"Forecast when a financial risk event will occur in a decentralized, privacy-preserving setting, provide explainability, via time-dependent coefficients across forecasting horizons.",TD-AUC,"No, missing TTE metrics, censoring bias not addressed"
